Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_pert_id,Metadata_pert_mfc_id,Metadata_pert_well,Metadata_pert_id_vendor,Metadata_cell_id,Metadata_broad_sample_type,Metadata_pert_vehicle,Metadata_pert_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015116,A01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A01,DMSO,0,0,DMSO,NA,NA,A01,,unknown,control,DMSO,control,12024.065737051793,239.70814363583685,9632.370517928286,88.71555174289635,2629.2788844621514,156.8468436787811
SQ00015116,A02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A02,DMSO,0,0,DMSO,NA,NA,A02,,unknown,control,DMSO,control,13440.356194690265,295.96058060049796,10858.339048672566,98.63778842145611,2828.766592920354,203.9739465417085
SQ00015116,A03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A03,DMSO,0,0,DMSO,NA,NA,A03,,unknown,control,DMSO,control,12852.528179551122,289.4787444194522,10303.81246882793,95.38079502267793,2793.503740648379,200.77714757753625
SQ00015116,A04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A04,DMSO,0,0,DMSO,NA,NA,A04,,unknown,control,DMSO,control,12824.732006125574,264.73319130345243,10306.016334864727,91.85981482722819,2762.1281265952016,179.07146960037088
SQ00015116,A05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A05,DMSO,0,0,DMSO,NA,NA,A05,,unknown,control,DMSO,control,13858.2240365774,277.3847376748769,11375.66557805356,97.53899969664846,2724.744611365121,186.0672473445222
SQ00015116,A06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A06,DMSO,0,0,DMSO,NA,NA,A06,,unknown,control,DMSO,control,14115.885854341737,310.5265373312663,11490.604341736695,103.34389663484966,2873.4110644257703,213.9506871954255
SQ00015116,B01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B01,DMSO,0,0,DMSO,NA,NA,B01,,unknown,control,DMSO,control,13613.628262253342,292.96039034833393,11062.096117122852,97.6470726985549,2795.386378103119,201.67898901533349
SQ00015116,B02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B02,DMSO,0,0,DMSO,NA,NA,B02,,unknown,control,DMSO,control,12326.838661338661,292.37779061775666,9851.401098901099,93.56233698802804,2716.035964035964,205.75893642595196
SQ00015116,B03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B03,DMSO,0,0,DMSO,NA,NA,B03,,unknown,control,DMSO,control,12173.23392943451,296.6071111794502,9688.948284195263,95.32132999471672,2725.643305944901,208.36830159485496
SQ00015116,B04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B04,DMSO,0,0,DMSO,NA,NA,B04,,unknown,control,DMSO,control,11799.542372881357,288.9432233433051,9263.134745762713,92.794506316539,2780.9550847457626,203.37492363150548
SQ00015116,B05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B05,DMSO,0,0,DMSO,NA,NA,B05,,unknown,control,DMSO,control,11729.829714772244,300.8400836735055,9161.55342699021,95.4257582601618,2814.4584929757343,212.77649535473694
SQ00015116,B06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B06,DMSO,0,0,DMSO,NA,NA,B06,,unknown,control,DMSO,control,11347.11120726958,280.5637214108999,8982.876244050194,89.35744792430398,2600.148420597144,198.32135142698766
SQ00015116,C01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C01,BRD-K25650355-065-02-0,3.7342500000000003,10,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C01,,unknown,trt,DMSO,trt,12445.785951589938,287.3830872267413,9962.108210726152,92.8162843959528,2725.561936402468,201.31660548704275
SQ00015116,C02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C02,BRD-K25650355-065-02-0,1.2447499999990426,3.3333333333307693,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C02,,unknown,trt,DMSO,trt,12461.58281325012,331.39114079164756,9845.788766202593,105.47218756168508,2863.5400864138264,233.74300581788304
SQ00015116,C03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C03,BRD-K25650355-065-02-0,0.4149166666682625,1.1111111111153846,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C03,,unknown,trt,DMSO,trt,11882.151893095768,273.11807646724026,9432.527839643653,88.69164547662278,2689.3781737193763,191.06691480987686
SQ00015116,C04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C04,BRD-K25650355-065-02-0,0.13830555555513,0.37037037036923076,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C04,,unknown,trt,DMSO,trt,10532.056128293241,287.4306224679493,8152.999236349752,85.15008545208171,2615.856051928217,209.7522606709492
SQ00015116,C05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C05,BRD-K25650355-065-02-0,0.04610185185171,0.12345679012307692,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C05,,unknown,trt,DMSO,trt,11332.868792894631,294.18451448509234,8945.337101332258,91.91527031739652,2624.6419055308843,209.74321151439207
SQ00015116,C06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,C06,BRD-K25650355-065-02-0,0.0153672839515275,0.04115226337692308,DMSO,BRD-K25650355,BRD-K25650355-065-02-0,C06,,unknown,trt,DMSO,trt,11361.657545959812,302.0768918066397,8975.516460025652,92.29832309906433,2623.702436938863,217.47400764023465
SQ00015116,D01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D01,BRD-K25837718-001-03-8,8.27995,10,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D01,,unknown,trt,DMSO,trt,13469.927194860813,296.82058032471997,10856.698608137045,98.45296209278553,2860.904710920771,204.98639055534179
SQ00015116,D02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D02,BRD-K25837718-001-03-8,2.7599833333312103,3.3333333333307693,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D02,,unknown,trt,DMSO,trt,12124.43691064212,285.1958138704334,9777.13875168388,95.22179867524058,2582.665918275707,197.05607435701572
SQ00015116,D03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D03,BRD-K25837718-001-03-8,0.9199944444479828,1.1111111111153846,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D03,,unknown,trt,DMSO,trt,11909.087782805429,298.08396017818313,9433.3,93.61426498421112,2717.629864253394,211.69262228940795
SQ00015116,D04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D04,BRD-K25837718-001-03-8,0.30666481481387126,0.37037037036923076,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D04,,unknown,trt,DMSO,trt,11452.58299096138,297.2971705595177,8971.209120788824,91.91151363919788,2722.8167625308133,212.6659597992704
SQ00015116,D05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D05,BRD-K25837718-001-03-8,0.10222160493795708,0.12345679012307692,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D05,,unknown,trt,DMSO,trt,10450.608191373685,289.7871828013862,8054.774193548387,88.02652765148842,2634.4255164914825,209.35161886323917
SQ00015116,D06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,D06,BRD-K25837718-001-03-8,0.03407386831477542,0.04115226337692308,DMSO,BRD-K25837718,BRD-K25837718-001-03-8,D06,,unknown,trt,DMSO,trt,10360.973723168023,289.9640500925746,8022.955218356773,87.44186516906353,2573.5266469282014,210.11983354126954
SQ00015116,E01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E01,BRD-K26603252-003-04-9,3.96666,10,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E01,,unknown,trt,DMSO,trt,13021.253164556962,275.1174626264563,10443.592184920199,91.8968647745271,2824.550908090259,189.60081423582827
SQ00015116,E02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E02,BRD-K26603252-003-04-9,1.322219999998983,3.3333333333307693,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E02,,unknown,trt,DMSO,trt,12924.944471269919,290.6536670016593,10422.708353452439,96.19262821198116,2745.481892805408,201.40667845222168
SQ00015116,E03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E03,BRD-K26603252-003-04-9,0.44074000000169516,1.1111111111153846,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E03,,unknown,trt,DMSO,trt,12514.20975399223,302.66073254198477,9968.497626240829,97.10481094413875,2790.39059128183,212.73697673832538
SQ00015116,E04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E04,BRD-K26603252-003-04-9,0.14691333333288129,0.37037037036923076,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E04,,unknown,trt,DMSO,trt,12144.03591518823,295.9969995233662,9612.993942016443,94.04533782705198,2775.6867157074857,209.17062241965377
SQ00015116,E05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E05,BRD-K26603252-003-04-9,0.04897111111096043,0.12345679012307692,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E05,,unknown,trt,DMSO,trt,10576.745404092959,287.7175519295877,8138.846340617412,87.52363869293063,2678.124176205342,207.80185414329327
SQ00015116,E06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,E06,BRD-K26603252-003-04-9,0.01632370370467057,0.04115226337692308,DMSO,BRD-K26603252,BRD-K26603252-003-04-9,E06,,unknown,trt,DMSO,trt,9753.172543649434,284.9462078627556,7366.062992125984,81.4338592072349,2624.6189661074973,211.19128141844584
